date,total_cases,new_cases,total_deaths,new_deaths,new_tests,cases/tests[%]
04.03.20,1.0,1.0,,,,nan%
05.03.20,1.0,0.0,,,,nan%
06.03.20,5.0,4.0,,,,nan%
07.03.20,5.0,0.0,,,,nan%
08.03.20,11.0,6.0,,,,nan%
09.03.20,16.0,5.0,,,,nan%
10.03.20,22.0,6.0,,,,nan%
11.03.20,31.0,9.0,,,,nan%
12.03.20,49.0,18.0,1.0,1.0,,nan%
13.03.20,68.0,19.0,2.0,1.0,,nan%
14.03.20,103.0,35.0,3.0,1.0,,nan%
15.03.20,119.0,16.0,3.0,0.0,,nan%
16.03.20,177.0,58.0,4.0,1.0,,nan%
17.03.20,238.0,61.0,5.0,1.0,,nan%
18.03.20,251.0,13.0,5.0,0.0,,nan%
19.03.20,355.0,104.0,5.0,0.0,,nan%
20.03.20,425.0,70.0,5.0,0.0,,nan%
21.03.20,536.0,111.0,5.0,0.0,,nan%
22.03.20,634.0,98.0,7.0,2.0,,nan%
23.03.20,749.0,115.0,8.0,1.0,,nan%
24.03.20,901.0,152.0,10.0,2.0,,nan%
25.03.20,1051.0,150.0,14.0,4.0,,nan%
26.03.20,1221.0,170.0,16.0,2.0,,nan%
27.03.20,1389.0,168.0,16.0,0.0,,nan%
28.03.20,1638.0,249.0,18.0,2.0,,nan%
29.03.20,1862.0,224.0,22.0,4.0,,nan%
30.03.20,2055.0,193.0,31.0,9.0,,nan%
31.03.20,2311.0,256.0,33.0,2.0,,nan%
01.04.20,2554.0,243.0,43.0,10.0,,nan%
02.04.20,2946.0,392.0,57.0,14.0,,nan%
03.04.20,3383.0,437.0,71.0,14.0,,nan%
04.04.20,3627.0,244.0,79.0,8.0,,nan%
05.04.20,4102.0,475.0,94.0,15.0,,nan%
06.04.20,4413.0,311.0,107.0,13.0,,nan%
07.04.20,4848.0,435.0,129.0,22.0,,nan%
08.04.20,5205.0,357.0,159.0,30.0,,nan%
09.04.20,5575.0,370.0,174.0,15.0,,nan%
10.04.20,5955.0,380.0,181.0,7.0,,nan%
11.04.20,6356.0,401.0,208.0,27.0,,nan%
12.04.20,6674.0,318.0,232.0,24.0,,nan%
13.04.20,6934.0,260.0,245.0,13.0,,nan%
14.04.20,7202.0,268.0,263.0,18.0,,nan%
15.04.20,7582.0,380.0,286.0,23.0,,nan%
16.04.20,7918.0,336.0,314.0,28.0,,nan%
17.04.20,8379.0,461.0,332.0,18.0,,nan%
18.04.20,8742.0,363.0,347.0,15.0,,nan%
19.04.20,9287.0,545.0,360.0,13.0,,nan%
20.04.20,9593.0,306.0,380.0,20.0,,nan%
21.04.20,9856.0,263.0,401.0,21.0,,nan%
22.04.20,10169.0,313.0,426.0,25.0,,nan%
23.04.20,10511.0,342.0,454.0,28.0,,nan%
24.04.20,10892.0,381.0,494.0,40.0,,nan%
25.04.20,11273.0,381.0,524.0,30.0,,nan%
26.04.20,11617.0,344.0,535.0,11.0,,nan%
27.04.20,11902.0,285.0,562.0,27.0,,nan%
28.04.20,12218.0,316.0,596.0,34.0,,nan%
29.04.20,12640.0,422.0,624.0,28.0,12802.0,3.30%
30.04.20,12877.0,237.0,644.0,20.0,12509.0,1.89%
01.05.20,13105.0,228.0,651.0,7.0,15651.0,1.46%
02.05.20,13375.0,270.0,664.0,13.0,10613.0,2.54%
03.05.20,13693.0,318.0,678.0,14.0,9382.0,3.39%
04.05.20,14006.0,313.0,698.0,20.0,7304.0,4.29%
05.05.20,14431.0,425.0,716.0,18.0,9642.0,4.41%
06.05.20,14740.0,309.0,733.0,17.0,15004.0,2.06%
07.05.20,15047.0,307.0,755.0,22.0,14382.0,2.13%
08.05.20,15366.0,319.0,776.0,21.0,16206.0,1.97%
09.05.20,15651.0,285.0,785.0,9.0,15886.0,1.79%
10.05.20,15996.0,345.0,800.0,15.0,15473.0,2.23%
11.05.20,16326.0,330.0,811.0,11.0,13613.0,2.42%
12.05.20,16921.0,595.0,839.0,28.0,15722.0,3.78%
13.05.20,17204.0,283.0,861.0,22.0,19193.0,1.47%
14.05.20,17615.0,411.0,883.0,22.0,21564.0,1.91%
15.05.20,18016.0,401.0,907.0,24.0,20162.0,1.99%
16.05.20,18257.0,241.0,915.0,8.0,22897.0,1.05%
17.05.20,18529.0,272.0,925.0,10.0,17263.0,1.58%
18.05.20,18885.0,356.0,936.0,11.0,14416.0,2.47%
19.05.20,19268.0,383.0,948.0,12.0,16254.0,2.36%
20.05.20,19739.0,471.0,962.0,14.0,20242.0,2.33%
21.05.20,20143.0,404.0,972.0,10.0,21556.0,1.87%
22.05.20,20619.0,476.0,982.0,10.0,21277.0,2.24%
23.05.20,20931.0,312.0,993.0,11.0,26280.0,1.19%
24.05.20,21326.0,395.0,996.0,3.0,14889.0,2.65%
25.05.20,21631.0,305.0,1007.0,11.0,10706.0,2.85%
26.05.20,22074.0,443.0,1024.0,17.0,21026.0,2.11%
27.05.20,22473.0,399.0,1028.0,4.0,19974.0,2.00%
28.05.20,22825.0,352.0,1038.0,10.0,19950.0,1.76%
29.05.20,23155.0,330.0,1051.0,13.0,24851.0,1.33%
30.05.20,23571.0,416.0,1061.0,10.0,23335.0,1.78%
31.05.20,23786.0,215.0,1064.0,3.0,14487.0,1.48%
01.06.20,24165.0,379.0,1074.0,10.0,14119.0,2.68%
02.06.20,24395.0,230.0,1092.0,18.0,12466.0,1.85%
03.06.20,24687.0,292.0,1115.0,23.0,19024.0,1.53%
04.06.20,25048.0,361.0,1117.0,2.0,21579.0,1.67%
05.06.20,25410.0,362.0,1137.0,20.0,21410.0,1.69%
06.06.20,25986.0,576.0,1153.0,16.0,20752.0,2.78%
07.06.20,26561.0,575.0,1157.0,4.0,15664.0,3.67%
08.06.20,27160.0,599.0,1166.0,9.0,12241.0,4.89%
09.06.20,27560.0,400.0,1183.0,17.0,14798.0,2.70%
10.06.20,27842.0,282.0,1206.0,23.0,19368.0,1.46%
11.06.20,28201.0,359.0,1215.0,9.0,16542.0,2.17%
12.06.20,28577.0,376.0,1222.0,7.0,19378.0,1.94%
13.06.20,29017.0,440.0,1237.0,15.0,15563.0,2.83%
14.06.20,29392.0,375.0,1247.0,10.0,17049.0,2.20%
15.06.20,29788.0,396.0,1256.0,9.0,10676.0,3.71%
