wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4;0;0;0;t0
dolnoœl¹skie;2976224;2844;1389489;1245;t02
kujawsko-pomorskie;2004767;1757;931981;826;t04
lubelskie;1713221;1996;799379;837;t06
lubuskie;1020781;1006;473827;367;t08
³ódzkie;2442725;2662;1149681;1291;t10
ma³opolskie;3158287;3808;1478971;1815;t12
mazowieckie;5811381;5590;2726493;2786;t14
opolskie;874908;790;411955;297;t16
podkarpackie;1596135;1825;745695;896;t18
podlaskie;1060988;1107;498242;503;t20
pomorskie;2441828;2611;1146320;1075;t22
œl¹skie;4431244;4011;2071932;1961;t24
œwiêtokrzyskie;1071332;1325;498911;621;t26
warmiñsko-mazurskie;1275448;1418;595758;597;t28
wielkopolskie;3549465;3592;1677167;1597;t30
zachodniopomorskie;1716067;2120;796426;888;t32
ca³y kraj;37144805;38462;17392227;17602;t00
